Name,Rating,Food_Produced
Sahel Grill 177,4.0,"Savory Burger,Spicy Jollof Rice"
Kanem Bites 178,3.7,"Fried Chicken,Smoky Egusi Soup"
Kanem Palace 179,4.9,"Baked Masa,Roasted Shawarma"
City Feast 180,4.6,"Traditional Egusi Soup,Fried Pounded Yam"
Sambisa Feast 181,4.0,"Grilled Pounded Yam,Grilled Masa"
Kanem Cuisine 182,4.2,"Sweet Pizza,Baked Shawarma"
Desert Spot 183,4.4,"Tangy Shawarma,Roasted Fish"
Royal Cuisine 184,4.8,"Fried Chicken,Baked Efo Riro"
Yankari Palace 185,3.8,"Traditional Egusi Soup,Sweet Chicken"
Yankari Cuisine 186,4.0,"Savory Burger,Baked Jollof Rice"
Sahel Grill 187,4.5,"Tangy Jollof Rice,Traditional Masa"
Kanem Grill 188,4.6,"Savory Fish,Traditional Masa"
Sambisa Bites 189,4.7,"Traditional Suya,Traditional Jollof Rice"
Sambisa Diner 190,3.9,"Traditional Pizza,Baked Masa"
Borno Joint 191,3.7,"Smoky Efo Riro,Sweet Jollof Rice"
Golden Grill 192,4.6,"Traditional Jollof Rice,Tangy Egusi Soup"
Golden Diner 193,4.7,"Smoky Shawarma,Smoky Chicken"
Oasis Kitchen 194,5.0,"Traditional Afang Soup,Tangy Masa"
Royal Bites 195,4.0,"Sweet Egusi Soup,Baked Fish"
Sambisa Joint 196,4.2,"Roasted Afang Soup,Roasted Egusi Soup"
Oasis Bites 197,3.7,"Savory Jollof Rice,Sweet Plantain"
Sambisa Hut 198,3.6,"Smoky Plantain,Roasted Fish"
Desert Hut 199,3.7,"Tangy Burger,Spicy Masa"
Yankari Kitchen 200,3.7,"Savory Pizza,Savory Plantain"
Borno Spot 201,3.7,"Baked Jollof Rice,Smoky Chicken"
Sambisa Palace 202,4.9,"Sweet Jollof Rice,Roasted Pounded Yam"
Borno Feast 203,4.8,"Roasted Burger,Spicy Jollof Rice"
Desert Palace 204,4.1,"Savory Afang Soup,Smoky Burger"
Borno Spot 205,4.7,"Sweet Fish,Fried Chicken"
Borno Hut 206,3.6,"Smoky Masa,Smoky Plantain"
Kanem Bites 207,3.6,"Roasted Suya,Smoky Pizza"
Royal Kitchen 208,4.6,"Tangy Jollof Rice,Fried Masa"
Borno Feast 209,3.7,"Spicy Suya,Sweet Burger"
Desert Palace 210,3.9,"Tangy Pizza,Savory Shawarma"
Golden Joint 211,4.2,"Savory Plantain,Smoky Afang Soup"
Oasis Spot 212,4.9,"Roasted Efo Riro,Smoky Suya"
Golden Spot 213,4.2,"Fried Jollof Rice,Smoky Masa"
City Cuisine 214,4.2,"Traditional Burger,Fried Pounded Yam"
Yankari Bites 215,3.8,"Roasted Pizza,Tangy Efo Riro"
Sambisa Diner 216,4.5,"Smoky Pounded Yam,Spicy Chicken"
Kanem Cuisine 217,3.8,"Fried Pizza,Grilled Egusi Soup"
Yankari Diner 218,4.1,"Grilled Fish,Traditional Burger"
Yankari Diner 219,3.6,"Spicy Shawarma,Traditional Plantain"
Sahel Palace 220,4.0,"Grilled Afang Soup,Grilled Pizza"
Borno Grill 221,4.7,"Savory Fish,Grilled Plantain"
Oasis Kitchen 222,3.7,"Roasted Masa,Smoky Afang Soup"
Kanem Hut 223,4.3,"Roasted Jollof Rice,Tangy Plantain"
Borno Grill 224,4.8,"Tangy Suya,Grilled Pizza"
Oasis Cuisine 225,4.7,"Roasted Suya,Traditional Jollof Rice"
Sambisa Spot 226,4.8,"Smoky Pounded Yam,Tangy Efo Riro"
Yankari Palace 227,4.6,"Sweet Shawarma,Grilled Afang Soup"
City Kitchen 228,4.8,"Smoky Chicken,Grilled Jollof Rice"
City Cuisine 229,4.3,"Fried Efo Riro,Baked Burger"
Golden Spot 230,4.8,"Traditional Masa,Roasted Burger"
Oasis Hut 231,3.7,"Roasted Efo Riro,Spicy Burger"
Royal Diner 232,4.9,"Roasted Burger,Spicy Egusi Soup"
City Bites 233,4.0,"Savory Jollof Rice,Traditional Pizza"
Borno Joint 234,4.3,"Tangy Pizza,Baked Masa"
City Feast 235,4.1,"Tangy Burger,Smoky Fish"
City Grill 236,4.0,"Tangy Chicken,Grilled Pizza"
Golden Bites 237,4.7,"Smoky Masa,Grilled Chicken"
Golden Grill 238,4.5,"Tangy Pounded Yam,Traditional Jollof Rice"
Borno Palace 239,3.9,"Tangy Egusi Soup,Grilled Afang Soup"
Golden Hut 240,4.9,"Smoky Afang Soup,Traditional Pizza"
Golden Palace 241,4.0,"Traditional Shawarma,Grilled Afang Soup"
Royal Kitchen 242,4.6,"Sweet Jollof Rice,Spicy Pounded Yam"
Oasis Cuisine 243,4.2,"Smoky Pounded Yam,Savory Chicken"
Borno Diner 244,3.8,"Fried Efo Riro,Savory Burger"
Yankari Kitchen 245,3.7,"Sweet Egusi Soup,Smoky Chicken"
Sambisa Grill 246,3.8,"Traditional Masa,Tangy Chicken"
City Kitchen 247,4.1,"Savory Egusi Soup,Tangy Fish"
Yankari Hut 248,4.8,"Baked Chicken,Spicy Egusi Soup"
Yankari Bites 249,3.7,"Traditional Egusi Soup,Fried Suya"
Desert Palace 250,4.2,"Tangy Fish,Sweet Chicken"
City Spot 251,5.0,"Grilled Burger,Roasted Efo Riro"
Yankari Palace 252,4.6,"Fried Egusi Soup,Sweet Chicken"
Desert Kitchen 253,3.7,"Baked Egusi Soup,Tangy Masa"
City Diner 254,4.3,"Roasted Chicken,Roasted Egusi Soup"
City Spot 255,4.9,"Smoky Efo Riro,Roasted Masa"
City Spot 256,4.7,"Smoky Egusi Soup,Fried Chicken"
Kanem Feast 257,3.7,"Savory Pizza,Fried Suya"
Sambisa Grill 258,4.1,"Roasted Suya,Smoky Fish"
Kanem Cuisine 259,4.2,"Spicy Pizza,Traditional Shawarma"
Oasis Kitchen 260,4.4,"Baked Suya,Fried Jollof Rice"
Oasis Feast 261,4.9,"Baked Fish,Fried Pounded Yam"
Royal Cuisine 262,3.7,"Baked Chicken,Traditional Plantain"
Royal Hut 263,4.0,"Savory Pounded Yam,Smoky Jollof Rice"
City Feast 264,3.7,"Traditional Efo Riro,Tangy Plantain"
Sambisa Feast 265,5.0,"Smoky Suya,Savory Jollof Rice"
Royal Kitchen 266,3.5,"Traditional Pounded Yam,Sweet Shawarma"
Desert Palace 267,3.6,"Spicy Plantain,Spicy Chicken"
Sambisa Feast 268,4.0,"Sweet Jollof Rice,Traditional Egusi Soup"
Oasis Hut 269,4.4,"Roasted Plantain,Savory Fish"
Sambisa Bites 270,4.5,"Savory Shawarma,Traditional Efo Riro"
Royal Diner 271,4.9,"Smoky Jollof Rice,Baked Shawarma"
Desert Joint 272,4.8,"Savory Plantain,Roasted Masa"
Sambisa Spot 273,4.4,"Tangy Suya,Baked Pizza"
City Kitchen 274,4.3,"Roasted Pizza,Fried Egusi Soup"
Kanem Kitchen 275,3.6,"Smoky Suya,Spicy Burger"
Yankari Grill 276,3.9,"Baked Shawarma,Roasted Chicken"
Kanem Bites 277,3.8,"Grilled Afang Soup,Traditional Chicken"
Desert Spot 278,4.9,"Smoky Pounded Yam,Savory Afang Soup"
Sambisa Kitchen 279,4.6,"Baked Pounded Yam,Spicy Masa"
Borno Cuisine 280,4.5,"Roasted Suya,Sweet Masa"
Kanem Diner 281,3.9,"Savory Suya,Baked Pizza"
Sahel Hut 282,4.1,"Grilled Masa,Smoky Egusi Soup"
City Feast 283,3.6,"Fried Burger,Grilled Fish"
Kanem Joint 284,3.9,"Roasted Masa,Sweet Plantain"
Golden Diner 285,3.5,"Grilled Jollof Rice,Sweet Efo Riro"
City Cuisine 286,4.8,"Baked Plantain,Roasted Suya"
Desert Bites 287,4.8,"Fried Pounded Yam,Traditional Jollof Rice"
Kanem Kitchen 288,4.5,"Savory Masa,Fried Efo Riro"
Oasis Feast 289,5.0,"Baked Masa,Spicy Shawarma"
City Feast 290,4.8,"Baked Plantain,Spicy Pizza"
Yankari Kitchen 291,4.6,"Spicy Plantain,Sweet Egusi Soup"
Royal Hut 292,3.8,"Sweet Chicken,Fried Shawarma"
Desert Spot 293,3.9,"Smoky Egusi Soup,Grilled Plantain"
Sahel Diner 294,4.1,"Spicy Jollof Rice,Tangy Masa"
Oasis Grill 295,4.8,"Spicy Efo Riro,Smoky Egusi Soup"
Desert Bites 296,4.6,"Grilled Afang Soup,Sweet Masa"
City Spot 297,4.3,"Spicy Pounded Yam,Grilled Suya"
Royal Joint 298,3.9,"Traditional Suya,Traditional Egusi Soup"
Sambisa Kitchen 299,4.0,"Baked Chicken,Sweet Efo Riro"
Kanem Kitchen 300,4.0,"Smoky Shawarma,Smoky Fish"
Borno Bites 301,4.9,"Fried Afang Soup,Spicy Masa"
Sahel Diner 302,4.8,"Grilled Egusi Soup,Roasted Burger"
City Kitchen 303,3.9,"Fried Jollof Rice,Savory Afang Soup"
Kanem Bites 304,4.1,"Sweet Masa,Grilled Shawarma"
Yankari Grill 305,4.0,"Spicy Shawarma,Grilled Pizza"
Oasis Diner 306,3.9,"Grilled Efo Riro,Grilled Fish"
Oasis Spot 307,4.5,"Smoky Egusi Soup,Fried Fish"
Sambisa Spot 308,4.3,"Baked Pounded Yam,Spicy Chicken"
Borno Diner 309,4.2,"Spicy Suya,Baked Shawarma"
Borno Feast 310,3.5,"Spicy Afang Soup,Sweet Suya"
Royal Grill 311,4.4,"Sweet Chicken,Grilled Pizza"
Golden Bites 312,3.8,"Baked Jollof Rice,Smoky Shawarma"
Sahel Feast 313,4.4,"Baked Chicken,Savory Egusi Soup"
Royal Bites 314,3.5,"Grilled Pounded Yam,Savory Chicken"
Royal Cuisine 315,4.4,"Savory Plantain,Grilled Pizza"
Desert Feast 316,3.6,"Roasted Shawarma,Smoky Masa"
Golden Palace 317,4.5,"Grilled Burger,Roasted Masa"
Desert Joint 318,3.7,"Baked Suya,Grilled Fish"
Royal Diner 319,4.9,"Grilled Egusi Soup,Sweet Jollof Rice"
Yankari Cuisine 320,4.7,"Smoky Efo Riro,Baked Masa"
City Feast 321,4.4,"Traditional Masa,Fried Egusi Soup"
Desert Kitchen 322,4.0,"Tangy Egusi Soup,Spicy Chicken"
Sambisa Palace 323,4.4,"Traditional Egusi Soup,Grilled Efo Riro"
Golden Cuisine 324,3.7,"Savory Shawarma,Sweet Plantain"
Desert Kitchen 325,3.7,"Smoky Plantain,Roasted Suya"
Golden Cuisine 326,4.3,"Traditional Plantain,Savory Chicken"
Golden Hut 327,3.6,"Spicy Shawarma,Tangy Burger"
Sahel Feast 328,4.3,"Baked Burger,Tangy Jollof Rice"
Golden Feast 329,3.7,"Spicy Chicken,Smoky Efo Riro"
Golden Diner 330,4.9,"Roasted Pounded Yam,Smoky Jollof Rice"
Borno Feast 331,4.9,"Sweet Pizza,Tangy Pounded Yam"
City Diner 332,4.3,"Sweet Shawarma,Fried Suya"
Desert Palace 333,3.8,"Fried Afang Soup,Spicy Masa"
Golden Cuisine 334,4.8,"Grilled Pounded Yam,Fried Masa"
Kanem Diner 335,3.9,"Grilled Shawarma,Roasted Burger"
Oasis Bites 336,3.7,"Spicy Masa,Baked Suya"
Yankari Feast 337,4.9,"Grilled Pizza,Smoky Efo Riro"
Desert Palace 338,4.5,"Fried Chicken,Savory Burger"
Borno Palace 339,3.7,"Roasted Pounded Yam,Roasted Fish"
Royal Feast 340,4.3,"Baked Burger,Sweet Masa"
Royal Bites 341,4.6,"Smoky Masa,Grilled Egusi Soup"
Oasis Feast 342,3.9,"Fried Pizza,Savory Efo Riro"
Yankari Feast 343,4.4,"Roasted Egusi Soup,Baked Pizza"
Sahel Feast 344,4.2,"Grilled Pounded Yam,Grilled Afang Soup"
Oasis Bites 345,3.8,"Tangy Shawarma,Spicy Suya"
Oasis Bites 346,3.7,"Tangy Chicken,Traditional Shawarma"
Oasis Kitchen 347,4.2,"Sweet Efo Riro,Baked Chicken"
Kanem Spot 348,3.6,"Traditional Efo Riro,Baked Masa"
Yankari Feast 349,3.8,"Savory Shawarma,Baked Fish"
Desert Palace 350,3.7,"Sweet Plantain,Traditional Pizza"
Golden Diner 351,3.6,"Tangy Suya,Traditional Burger"
Yankari Kitchen 352,3.8,"Roasted Jollof Rice,Spicy Masa"
Sahel Cuisine 353,4.5,"Baked Afang Soup,Baked Jollof Rice"
Sahel Grill 354,4.3,"Tangy Plantain,Fried Shawarma"
Kanem Hut 355,4.9,"Sweet Pounded Yam,Baked Shawarma"
Golden Spot 356,4.3,"Spicy Jollof Rice,Spicy Pizza"
City Palace 357,4.4,"Baked Shawarma,Traditional Burger"
Sambisa Bites 358,4.7,"Sweet Burger,Sweet Masa"
Desert Cuisine 359,4.2,"Grilled Afang Soup,Sweet Chicken"
Sahel Cuisine 360,4.5,"Tangy Pounded Yam,Savory Fish"
Borno Cuisine 361,3.8,"Savory Afang Soup,Sweet Chicken"
Borno Palace 362,4.9,"Grilled Chicken,Fried Efo Riro"
Borno Kitchen 363,4.3,"Roasted Burger,Savory Fish"
Borno Joint 364,3.9,"Baked Jollof Rice,Spicy Efo Riro"
Sahel Diner 365,4.7,"Fried Burger,Baked Egusi Soup"
Kanem Joint 366,4.7,"Roasted Masa,Traditional Jollof Rice"
Golden Palace 367,4.2,"Traditional Plantain,Fried Pounded Yam"
Sambisa Bites 368,4.0,"Savory Suya,Savory Pizza"
Desert Bites 369,3.6,"Savory Egusi Soup,Fried Pizza"
Desert Spot 370,3.9,"Tangy Egusi Soup,Tangy Fish"
Oasis Palace 371,4.0,"Grilled Afang Soup,Traditional Pizza"
Borno Palace 372,3.8,"Spicy Egusi Soup,Grilled Pounded Yam"
Yankari Palace 373,4.7,"Roasted Afang Soup,Baked Pounded Yam"
Sahel Palace 374,4.6,"Tangy Plantain,Traditional Pizza"
Golden Bites 375,4.3,"Tangy Pizza,Savory Pounded Yam"
Kanem Kitchen 376,3.5,"Sweet Suya,Baked Egusi Soup"
Oasis Palace 377,4.6,"Tangy Fish,Roasted Chicken"
Sahel Palace 378,4.9,"Baked Shawarma,Savory Pizza"
Kanem Palace 379,4.0,"Smoky Efo Riro,Smoky Afang Soup"
Borno Cuisine 380,4.5,"Baked Shawarma,Spicy Plantain"
Borno Bites 381,4.7,"Sweet Fish,Traditional Jollof Rice"
Golden Hut 382,4.7,"Fried Efo Riro,Baked Chicken"
Desert Spot 383,4.8,"Smoky Pounded Yam,Sweet Afang Soup"
Royal Hut 384,4.5,"Roasted Afang Soup,Fried Efo Riro"
Kanem Kitchen 385,3.7,"Sweet Afang Soup,Sweet Suya"
Sambisa Joint 386,3.6,"Savory Efo Riro,Tangy Chicken"
Sambisa Spot 387,4.0,"Traditional Plantain,Spicy Efo Riro"
Sambisa Kitchen 388,4.3,"Roasted Burger,Spicy Afang Soup"
City Grill 389,4.4,"Sweet Efo Riro,Spicy Jollof Rice"
Kanem Cuisine 390,3.5,"Baked Plantain,Baked Pounded Yam"
Oasis Grill 391,4.8,"Roasted Egusi Soup,Baked Pounded Yam"
Oasis Cuisine 392,4.8,"Fried Suya,Fried Efo Riro"
Yankari Spot 393,4.0,"Tangy Egusi Soup,Savory Plantain"
City Grill 394,4.3,"Spicy Efo Riro,Fried Egusi Soup"
City Cuisine 395,3.7,"Tangy Egusi Soup,Baked Burger"
Sambisa Grill 396,4.4,"Spicy Suya,Baked Afang Soup"
Yankari Diner 397,4.9,"Traditional Plantain,Tangy Pizza"
Golden Grill 398,4.0,"Grilled Chicken,Sweet Afang Soup"
Kanem Feast 399,4.9,"Fried Shawarma,Tangy Jollof Rice"
Sahel Diner 400,4.3,"Smoky Efo Riro,Smoky Suya"
Desert Bites 401,3.8,"Tangy Egusi Soup,Smoky Jollof Rice"
Yankari Grill 402,4.3,"Smoky Egusi Soup,Spicy Jollof Rice"
